image_path_1,image_path_2,source_dataset,hash_value,duplicate_type
color/Apple___healthy/11beda66-01e9-4bfd-be37-c0f8646d1478___RS_HL 6271.JPG,color/Apple___healthy/13298d36-4425-437d-ae8e-c7d70e200084___RS_HL 6271.JPG,color,f386133337677f7f,intra_class
color/Apple___healthy/14896dc0-688d-456f-b5ec-a037695b0193___RS_HL 6268.JPG,color/Apple___healthy/c21cf428-bfc3-4710-b5d2-69d1c0e94748___RS_HL 6268.JPG,color,01010d0b0b070e00,intra_class
color/Apple___healthy/1ab5e019-e5f0-4d8e-a252-94cb0aab8b0a___RS_HL 6269.JPG,color/Apple___healthy/3673d121-b5de-481c-b057-d4ee5b4959b1___RS_HL 6269.JPG,color,0003070f1d3b330f,intra_class
color/Apple___healthy/3d075f90-7002-4c45-abc0-4f35ee49aa79___RS_HL 6272.JPG,color/Apple___healthy/acb21cc2-8d65-4880-a7bb-dcc1eab1564b___RS_HL 6272.JPG,color,1303071333372e1e,intra_class
color/Apple___healthy/5192db55-4aa7-421c-92d4-c2dac79e7379___RS_HL 6273.JPG,color/Apple___healthy/9b75de13-d4b0-4b3f-988c-3e9926eef957___RS_HL 6273.JPG,color,0f0f0f0f0f071717,intra_class
color/Apple___healthy/ced4e27a-5eff-4190-a33a-cdc3d84c811e___RS_HL 6270.JPG,color/Apple___healthy/dc18b924-f172-445d-8fed-61445d437aaa___RS_HL 6270.JPG,color,0c373b3931230f0f,intra_class
color/Apple___healthy/f2cda910-55c7-46d7-b1a2-9a3bb9792148___RS_HL 6274.JPG,color/Apple___healthy/fdbfa6f7-f887-442d-8df1-1f0cf839fc4d___RS_HL 6274.JPG,color,010105091b333e38,intra_class
color/Corn_(maize)___Common_rust_/RS_Rust 2439.JPG,color/Corn_(maize)___Common_rust_/RS_Rust 2464.JPG,color,f0f0f0f0f0f0f0f0,intra_class
color/Corn_(maize)___Common_rust_/RS_Rust 2439.JPG,color/Corn_(maize)___Common_rust_/RS_Rust 2527.JPG,color,f0f0f0f0f0f0f0f0,intra_class
color/Corn_(maize)___Common_rust_/RS_Rust 2439.JPG,color/Corn_(maize)___Common_rust_/RS_Rust 2532.JPG,color,f0f0f0f0f0f0f0f0,intra_class
color/Corn_(maize)___Common_rust_/RS_Rust 2464.JPG,color/Corn_(maize)___Common_rust_/RS_Rust 2527.JPG,color,f0f0f0f0f0f0f0f0,intra_class
color/Corn_(maize)___Common_rust_/RS_Rust 2464.JPG,color/Corn_(maize)___Common_rust_/RS_Rust 2532.JPG,color,f0f0f0f0f0f0f0f0,intra_class
color/Corn_(maize)___Common_rust_/RS_Rust 2527.JPG,color/Corn_(maize)___Common_rust_/RS_Rust 2532.JPG,color,f0f0f0f0f0f0f0f0,intra_class
color/Corn_(maize)___Northern_Leaf_Blight/83327a8d-9bfd-49d6-9fc9-bc065a379bce___RS_NLB 4044 copy 2.jpg,color/Corn_(maize)___Northern_Leaf_Blight/b7ec2193-2a49-43b9-9962-7a13d472e668___RS_NLB 4044.JPG,color,1d19199d372667ef,intra_class
color/Corn_(maize)___healthy/49ecc957-9ec7-45f7-a3c9-d1e63cf224df___R.S_HL 0607 copy 2.jpg,color/Corn_(maize)___healthy/6aaf943e-fb16-4f8f-86c5-dc36724e25e5___R.S_HL 0607.JPG,color,0e0e3c3c7c7c7c7f,intra_class
color/Strawberry___Leaf_scorch/03e9b07f-582d-4a76-9a9c-aeacc96e4284___RS_L.Scorch 0870.JPG,color/Strawberry___Leaf_scorch/aed8624d-676c-453f-a0af-cfee0fac55f9___RS_L.Scorch 0869.JPG,color,8e1b3979793c3000,intra_class
color/Tomato___Late_blight/1a69b38b-c4eb-42c4-9584-bcb14fb8db0c___GHLB2 Leaf 9011.JPG,color/Tomato___Late_blight/2c47b891-3c97-48f1-a2cc-5aa53d3a1148___GHLB2 Leaf 9011.JPG,color,68040c1706060000,intra_class
color/Tomato___Late_blight/3fae9c64-18f0-4a67-9f97-554248bb1bed___GHLB_PS Leaf 24 Day 16.jpg,color/Tomato___Late_blight/5de6da85-f8c4-48c4-b463-3e6bd78884cc___GHLB_PS Leaf 24 Day 16.jpg,color,607070f070303030,intra_class
color/Tomato___Late_blight/48c55974-9fe9-4f4b-94f7-c8cd127d1e05___GHLB_PS Leaf 23.7 Day 13.jpg,color/Tomato___Late_blight/bd4f09bd-ee85-4ab1-bce0-8cde3fdd7f1b___GHLB_PS Leaf 23.7 Day 13.jpg,color,3030303830706060,intra_class
color/Tomato___Late_blight/5688ea99-c949-41d0-bbab-9cbf0ffb8bcd___GHLB2 Leaf 8677.JPG,color/Tomato___Late_blight/e20107e7-137f-400e-817f-5dc4c58e5d70___GHLB2 Leaf 8677.JPG,color,f8d797960e4e3ebc,intra_class
color/Tomato___Late_blight/5f21282c-e2ef-4c4a-ace1-b5701fe7effc___GHLB2 Leaf 8999.JPG,color/Tomato___Late_blight/e5d707cd-077c-43af-bda9-6138e516ff51___GHLB2 Leaf 8999.JPG,color,fbcb7367371b1b3b,intra_class
color/Tomato___Late_blight/861d8b00-57a4-46b0-b51a-09d102dbe119___GHLB_PS Leaf 24 Day 13.jpg,color/Tomato___Late_blight/d82b634e-9a19-497b-b698-aaf100d622a1___GHLB_PS Leaf 24 Day 13.jpg,color,60f0f0f8f0707038,intra_class
