dataset,model,epoch,train_loss,val_loss,val_f1
color,SimpleCNN,1,3.391276909175672,2.9197024140136922,0.12851410729011145
color,SimpleCNN,2,2.6453206770043622,2.4320171236202417,0.24253417508502978
color,SimpleCNN,3,2.3118901112205106,2.2345472200027365,0.29829005485520543
color,SimpleCNN,4,2.117217455412212,2.0008537163008127,0.41134408594837096
color,SimpleCNN,5,1.9458415879701314,1.8724576580603391,0.4560622262987552
color,SimpleCNN,6,1.7897113082283422,1.727887519305905,0.47354325508971135
color,SimpleCNN,7,1.669002043322513,1.7388902004191418,0.4605380220583107
color,SimpleCNN,8,1.5842598684210527,1.5374909963039374,0.5330385038824608
color,SimpleCNN,9,1.4750988360455162,1.524704539696902,0.5570031733234841
color,SimpleCNN,10,1.4139889757256758,1.4677476237151796,0.5318718903221215
grayscale,SimpleCNN,1,3.5444545319205836,3.3601251482174095,0.013728603834705944
grayscale,SimpleCNN,2,3.2799699105714497,3.0881383352721765,0.10269967269132829
grayscale,SimpleCNN,3,3.044680400145681,2.909006901924184,0.1444539760236756
grayscale,SimpleCNN,4,2.896811557067068,2.78266989474265,0.16604175910476937
grayscale,SimpleCNN,5,2.7602073634298225,2.693940959387268,0.2067695245032311
grayscale,SimpleCNN,6,2.680427322889629,2.670522406874903,0.1909074289207157
grayscale,SimpleCNN,7,2.5997126564226654,2.5352852546616105,0.22414897247004484
grayscale,SimpleCNN,8,2.507456783997385,2.4599163765938865,0.2902117307690902
grayscale,SimpleCNN,9,2.419213153939498,2.3676636997437637,0.3078774883195964
grayscale,SimpleCNN,10,2.3424526703985116,2.2771913629493965,0.34282402896158687
segmented,SimpleCNN,1,3.4344628700457123,3.2076728271332797,0.043259263906674096
segmented,SimpleCNN,2,3.0989190347571123,2.9705700346965664,0.1307016391982472
segmented,SimpleCNN,3,2.6997703572323446,2.6067278505161107,0.20347496603410753
segmented,SimpleCNN,4,2.367734429459823,2.3520729592304357,0.28955782946793057
segmented,SimpleCNN,5,2.211308601780942,2.246670135283312,0.3138634511049901
segmented,SimpleCNN,6,2.0862869393198116,2.0959451350155254,0.3726696274709064
segmented,SimpleCNN,7,2.0106685794027226,2.0553089021846946,0.3795998107105126
segmented,SimpleCNN,8,1.9282648465507908,2.0218012402389225,0.37956535790388396
segmented,SimpleCNN,9,1.856886517876073,1.8797360009704993,0.4345863064711082
segmented,SimpleCNN,10,1.7980151510238647,1.90932312738027,0.41445298549228027
