Class_ID,Class,Train Sample Count,Test Sample Count,Is Minority,Baseline Recall,Baseline F1,Best Recall,Best F1,Recall Improvement,F1 Improvement
0,Apple___Apple_scab,100,18,True,0.2777777777777778,0.4,0.5555555555555556,0.5882352941176471,0.2777777777777778,0.18823529411764706
1,Apple___Black_rot,223,18,False,0.5,0.6206896551724138,0.8888888888888888,0.8421052631578947,0.38888888888888884,0.22141560798548088
2,Apple___Cedar_apple_rust,99,8,True,0.875,0.875,1.0,0.8888888888888888,0.125,0.01388888888888884
3,Apple___healthy,263,49,False,0.5306122448979592,0.65,0.6938775510204082,0.7311827956989247,0.16326530612244894,0.08118279569892473
4,Blueberry___healthy,240,45,False,0.8888888888888888,0.8602150537634409,0.9333333333333333,0.9545454545454546,0.04444444444444451,0.09433040078201371
5,Cherry_(including_sour)___Powdery_mildew,168,31,False,0.8387096774193549,0.8813559322033898,0.8387096774193549,0.8813559322033898,0.0,0.0
6,Cherry_(including_sour)___healthy,136,25,True,0.6,0.75,0.96,0.7619047619047619,0.36,0.011904761904761862
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,184,15,False,0.6,0.6666666666666666,0.8,0.8275862068965517,0.20000000000000007,0.16091954022988508
8,Corn_(maize)___Common_rust_,190,36,False,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.9577464788732394,-0.02777777777777779,-0.014475743348982828
9,Corn_(maize)___Northern_Leaf_Blight,157,29,True,0.8275862068965517,0.8275862068965517,0.9310344827586207,0.9,0.10344827586206895,0.07241379310344831
10,Corn_(maize)___healthy,186,34,False,0.9117647058823529,0.9538461538461539,0.9411764705882353,0.9696969696969697,0.02941176470588236,0.015850815850815825
11,Grape___Black_rot,188,35,False,0.8,0.835820895522388,0.8571428571428571,0.8108108108108109,0.05714285714285705,-0.025010084711577174
12,Grape___Esca_(Black_Measles),221,41,False,0.9024390243902439,0.925,0.9024390243902439,0.9135802469135802,0.0,-0.011419753086419848
13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),172,32,False,0.90625,0.8923076923076924,0.90625,0.9206349206349206,0.0,0.028327228327228227
14,Grape___healthy,152,12,True,0.5833333333333334,0.7,0.9166666666666666,0.7857142857142857,0.33333333333333326,0.08571428571428574
15,Orange___Haunglongbing_(Citrus_greening),881,165,False,0.9757575757575757,0.9817073170731707,0.9696969696969697,0.975609756097561,-0.006060606060605989,-0.0060975609756097615
16,Peach___Bacterial_spot,367,69,False,0.855072463768116,0.855072463768116,0.5507246376811594,0.6129032258064516,-0.30434782608695654,-0.24216923796166434
17,Peach___healthy,129,10,True,1.0,1.0,1.0,0.9523809523809523,0.0,-0.04761904761904767
18,"Pepper,_bell___Bacterial_spot",159,29,False,0.5172413793103449,0.5357142857142857,0.8620689655172413,0.6097560975609756,0.34482758620689646,0.0740418118466899
19,"Pepper,_bell___healthy",236,44,False,0.9090909090909091,0.8421052631578947,0.5227272727272727,0.6764705882352942,-0.38636363636363635,-0.16563467492260053
20,Potato___Early_blight,160,30,False,0.9666666666666667,0.8787878787878788,0.9666666666666667,0.8923076923076924,0.0,0.013519813519813573
21,Potato___Late_blight,160,30,False,0.7333333333333333,0.676923076923077,0.7333333333333333,0.7096774193548387,0.0,0.032754342431761785
22,Potato___healthy,54,8,True,0.625,0.625,0.875,0.4827586206896552,0.25,-0.1422413793103448
23,Raspberry___healthy,133,11,True,1.0,0.88,1.0,0.9565217391304348,0.0,0.07652173913043481
24,Soybean___healthy,814,152,False,0.9736842105263158,0.9308176100628931,0.8092105263157895,0.8754448398576512,-0.16447368421052633,-0.055372770205241895
25,Squash___Powdery_mildew,293,55,False,1.0,0.9649122807017544,0.9636363636363636,0.9464285714285714,-0.036363636363636376,-0.01848370927318299
26,Strawberry___Leaf_scorch,177,33,False,0.8787878787878788,0.90625,0.9393939393939394,0.8857142857142857,0.06060606060606066,-0.020535714285714324
27,Strawberry___healthy,164,13,False,1.0,0.7428571428571429,0.9230769230769231,0.8571428571428571,-0.07692307692307687,0.11428571428571421
28,Tomato___Bacterial_spot,340,63,False,0.8571428571428571,0.84375,0.7936507936507936,0.8064516129032258,-0.06349206349206349,-0.037298387096774244
29,Tomato___Early_blight,160,30,False,0.8333333333333334,0.6578947368421053,0.6333333333333333,0.7450980392156863,-0.20000000000000007,0.08720330237358098
30,Tomato___Late_blight,305,57,False,0.5087719298245614,0.6304347826086957,0.5614035087719298,0.6464646464646465,0.05263157894736836,0.016029863855950843
31,Tomato___Leaf_Mold,152,28,True,0.6428571428571429,0.72,0.75,0.7,0.1071428571428571,-0.020000000000000018
32,Tomato___Septoria_leaf_spot,283,53,False,0.6981132075471698,0.6607142857142857,0.5849056603773585,0.5961538461538461,-0.1132075471698113,-0.06456043956043955
33,Tomato___Spider_mites Two-spotted_spider_mite,268,50,False,0.86,0.8037383177570093,0.92,0.736,0.06000000000000005,-0.06773831775700934
34,Tomato___Target_Spot,224,42,False,0.8333333333333334,0.7954545454545454,0.8571428571428571,0.8275862068965517,0.023809523809523725,0.0321316614420063
35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,857,160,False,0.95625,0.9300911854103343,0.86875,0.9174917491749175,-0.08750000000000002,-0.012599436235416817
36,Tomato___Tomato_mosaic_virus,134,11,True,0.7272727272727273,0.6956521739130435,1.0,0.7586206896551724,0.2727272727272727,0.06296851574212892
37,Tomato___healthy,254,47,False,1.0,0.9894736842105263,1.0,0.9791666666666666,0.0,-0.010307017543859653
