Experiment,Class_ID,Class,Train Sample Count,Test Sample Count,Is Minority,Precision,Recall,F1-score
baseline,0,Apple___Apple_scab,100,18,True,0.7142857142857143,0.2777777777777778,0.4
baseline,1,Apple___Black_rot,223,18,False,0.8181818181818182,0.5,0.6206896551724138
baseline,2,Apple___Cedar_apple_rust,99,8,True,0.875,0.875,0.875
baseline,3,Apple___healthy,263,49,False,0.8387096774193549,0.5306122448979592,0.65
baseline,4,Blueberry___healthy,240,45,False,0.8333333333333334,0.8888888888888888,0.8602150537634409
baseline,5,Cherry_(including_sour)___Powdery_mildew,168,31,False,0.9285714285714286,0.8387096774193549,0.8813559322033898
baseline,6,Cherry_(including_sour)___healthy,136,25,True,1.0,0.6,0.75
baseline,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,184,15,False,0.75,0.6,0.6666666666666666
baseline,8,Corn_(maize)___Common_rust_,190,36,False,0.9722222222222222,0.9722222222222222,0.9722222222222222
baseline,9,Corn_(maize)___Northern_Leaf_Blight,157,29,True,0.8275862068965517,0.8275862068965517,0.8275862068965517
baseline,10,Corn_(maize)___healthy,186,34,False,1.0,0.9117647058823529,0.9538461538461539
baseline,11,Grape___Black_rot,188,35,False,0.875,0.8,0.835820895522388
baseline,12,Grape___Esca_(Black_Measles),221,41,False,0.9487179487179487,0.9024390243902439,0.925
baseline,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),172,32,False,0.8787878787878788,0.90625,0.8923076923076924
baseline,14,Grape___healthy,152,12,True,0.875,0.5833333333333334,0.7
baseline,15,Orange___Haunglongbing_(Citrus_greening),881,165,False,0.9877300613496932,0.9757575757575757,0.9817073170731707
baseline,16,Peach___Bacterial_spot,367,69,False,0.855072463768116,0.855072463768116,0.855072463768116
baseline,17,Peach___healthy,129,10,True,1.0,1.0,1.0
baseline,18,"Pepper,_bell___Bacterial_spot",159,29,False,0.5555555555555556,0.5172413793103449,0.5357142857142857
baseline,19,"Pepper,_bell___healthy",236,44,False,0.7843137254901961,0.9090909090909091,0.8421052631578947
baseline,20,Potato___Early_blight,160,30,False,0.8055555555555556,0.9666666666666667,0.8787878787878788
baseline,21,Potato___Late_blight,160,30,False,0.6285714285714286,0.7333333333333333,0.676923076923077
baseline,22,Potato___healthy,54,8,True,0.625,0.625,0.625
baseline,23,Raspberry___healthy,133,11,True,0.7857142857142857,1.0,0.88
baseline,24,Soybean___healthy,814,152,False,0.891566265060241,0.9736842105263158,0.9308176100628931
baseline,25,Squash___Powdery_mildew,293,55,False,0.9322033898305084,1.0,0.9649122807017544
baseline,26,Strawberry___Leaf_scorch,177,33,False,0.9354838709677419,0.8787878787878788,0.90625
