Class_ID,Class,Train Sample Count,Test Sample Count,Is Minority,Baseline Recall,Baseline F1,Best Recall,Best F1,Recall Improvement,F1 Improvement
6,Cherry_(including_sour)___healthy,136,25,True,0.6,0.75,0.96,0.7619047619047619,0.36,0.011904761904761862
14,Grape___healthy,152,12,True,0.5833333333333334,0.7,0.9166666666666666,0.7857142857142857,0.33333333333333326,0.08571428571428574
0,Apple___Apple_scab,100,18,True,0.2777777777777778,0.4,0.5555555555555556,0.5882352941176471,0.2777777777777778,0.18823529411764706
36,Tomato___Tomato_mosaic_virus,134,11,True,0.7272727272727273,0.6956521739130435,1.0,0.7586206896551724,0.2727272727272727,0.06296851574212892
22,Potato___healthy,54,8,True,0.625,0.625,0.875,0.4827586206896552,0.25,-0.1422413793103448
2,Apple___Cedar_apple_rust,99,8,True,0.875,0.875,1.0,0.8888888888888888,0.125,0.01388888888888884
31,Tomato___Leaf_Mold,152,28,True,0.6428571428571429,0.72,0.75,0.7,0.1071428571428571,-0.020000000000000018
9,Corn_(maize)___Northern_Leaf_Blight,157,29,True,0.8275862068965517,0.8275862068965517,0.9310344827586207,0.9,0.10344827586206895,0.07241379310344831
17,Peach___healthy,129,10,True,1.0,1.0,1.0,0.9523809523809523,0.0,-0.04761904761904767
23,Raspberry___healthy,133,11,True,1.0,0.88,1.0,0.9565217391304348,0.0,0.07652173913043481
