class_id,class_name,train_count,inverse_frequency_weight,class_balanced_weight,is_minority
0,Apple___Apple_scab,100,1.801381,1.7306465,True
1,Apple___Black_rot,223,0.80779415,0.8239604,False
2,Apple___Cedar_apple_rust,99,1.8195766,1.747268,True
3,Apple___healthy,263,0.6849357,0.7121867,False
4,Blueberry___healthy,240,0.7505754,0.77188194,False
5,Cherry_(including_sour)___Powdery_mildew,168,1.0722506,1.0649817,False
6,Cherry_(including_sour)___healthy,136,1.3245448,1.2951998,True
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,184,0.9790114,0.9799588,False
8,Corn_(maize)___Common_rust_,190,0.9480953,0.9517764,False
9,Corn_(maize)___Northern_Leaf_Blight,157,1.1473764,1.1335137,True
10,Corn_(maize)___healthy,186,0.96848434,0.9703621,False
11,Grape___Black_rot,188,0.9581813,0.96097004,False
12,Grape___Esca_(Black_Measles),221,0.81510454,0.83061635,False
13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),172,1.0473145,1.0422393,False
14,Grape___healthy,152,1.185119,1.1679509,True
15,Orange___Haunglongbing_(Citrus_greening),881,0.20447004,0.28126734,False
16,Peach___Bacterial_spot,367,0.49083948,0.5361583,False
17,Peach___healthy,129,1.3964193,1.3608139,True
18,"Pepper,_bell___Bacterial_spot",159,1.132944,1.1203465,False
19,"Pepper,_bell___healthy",236,0.763297,0.78345764,False
20,Potato___Early_blight,160,1.1258631,1.1138865,False
21,Potato___Late_blight,160,1.1258631,1.1138865,False
22,Potato___healthy,54,3.3358908,3.1329203,True
23,Raspberry___healthy,133,1.3544219,1.322473,True
24,Soybean___healthy,814,0.22129987,0.29576555,False
25,Squash___Powdery_mildew,293,0.6148058,0.6484817,False
26,Strawberry___Leaf_scorch,177,1.0177293,1.0152602,False
27,Strawberry___healthy,164,1.098403,1.0888367,False
28,Tomato___Bacterial_spot,340,0.52981794,0.57142526,False
29,Tomato___Early_blight,160,1.1258631,1.1138865,False
30,Tomato___Late_blight,305,0.5906167,0.6265314,False
31,Tomato___Leaf_Mold,152,1.185119,1.1679509,True
32,Tomato___Septoria_leaf_spot,283,0.6365304,0.6682063,False
33,Tomato___Spider_mites Two-spotted_spider_mite,268,0.67215705,0.7005724,False
34,Tomato___Target_Spot,224,0.80418795,0.8206772,False
35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,857,0.21019615,0.28618476,False
36,Tomato___Tomato_mosaic_virus,134,1.3443141,1.3132458,True
37,Tomato___healthy,254,0.70920515,0.7342514,False
