,ce_baseline,weighted_ce,focal_loss,class_balanced_loss
0: Apple___Apple_scab,0.5,0.4444444444444444,0.6111111111111112,0.6666666666666666
1: Apple___Black_rot,1.0,0.5,1.0,0.8888888888888888
2: Apple___Cedar_apple_rust,0.75,0.625,0.625,0.875
3: Apple___healthy,0.6122448979591837,0.5306122448979592,0.7755102040816326,0.7346938775510204
4: Blueberry___healthy,0.9777777777777777,0.9111111111111111,1.0,0.9777777777777777
5: Cherry_(including_sour)___Powdery_mildew,0.8387096774193549,0.7096774193548387,0.6451612903225806,0.8709677419354839
6: Cherry_(including_sour)___healthy,0.84,0.84,0.8,0.96
7: Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9333333333333333,0.7333333333333333,0.6,0.9333333333333333
8: Corn_(maize)___Common_rust_,0.9722222222222222,1.0,0.8055555555555556,0.9166666666666666
9: Corn_(maize)___Northern_Leaf_Blight,0.8620689655172413,0.7931034482758621,0.9310344827586207,0.7931034482758621
10: Corn_(maize)___healthy,1.0,0.9705882352941176,0.9705882352941176,0.9705882352941176
11: Grape___Black_rot,0.7142857142857143,0.45714285714285713,0.6285714285714286,0.6571428571428571
12: Grape___Esca_(Black_Measles),0.8780487804878049,0.926829268292683,0.8780487804878049,0.926829268292683
13: Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.875,0.84375,0.875,0.96875
14: Grape___healthy,0.9166666666666666,0.9166666666666666,0.75,1.0
15: Orange___Haunglongbing_(Citrus_greening),0.9939393939393939,0.9636363636363636,0.9939393939393939,0.9818181818181818
16: Peach___Bacterial_spot,0.7971014492753623,0.5652173913043478,0.855072463768116,0.5942028985507246
17: Peach___healthy,1.0,1.0,1.0,1.0
"18: Pepper,_bell___Bacterial_spot",0.7931034482758621,0.6551724137931034,0.5517241379310345,0.6206896551724138
"19: Pepper,_bell___healthy",0.9318181818181818,0.8409090909090909,0.7954545454545454,0.8863636363636364
20: Potato___Early_blight,0.9,0.9666666666666667,0.9666666666666667,0.9666666666666667
21: Potato___Late_blight,0.3,0.4,0.36666666666666664,0.6666666666666666
22: Potato___healthy,0.625,1.0,0.875,1.0
23: Raspberry___healthy,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091
24: Soybean___healthy,0.9407894736842105,0.6842105263157895,0.9671052631578947,0.8157894736842105
25: Squash___Powdery_mildew,0.9818181818181818,0.9272727272727272,1.0,0.9636363636363636
26: Strawberry___Leaf_scorch,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9696969696969697
27: Strawberry___healthy,0.9230769230769231,1.0,0.9230769230769231,1.0
28: Tomato___Bacterial_spot,0.6825396825396826,0.7619047619047619,0.6666666666666666,0.6507936507936508
29: Tomato___Early_blight,0.26666666666666666,0.7,0.43333333333333335,0.7666666666666667
30: Tomato___Late_blight,0.45614035087719296,0.3508771929824561,0.5964912280701754,0.5789473684210527
31: Tomato___Leaf_Mold,0.7857142857142857,0.5,0.5714285714285714,0.75
32: Tomato___Septoria_leaf_spot,0.6226415094339622,0.4528301886792453,0.6792452830188679,0.4528301886792453
33: Tomato___Spider_mites Two-spotted_spider_mite,0.8,0.82,0.72,0.96
34: Tomato___Target_Spot,0.5714285714285714,0.6190476190476191,0.9047619047619048,0.6904761904761905
35: Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.98125,0.83125,0.90625,0.86875
36: Tomato___Tomato_mosaic_virus,0.9090909090909091,0.9090909090909091,1.0,0.9090909090909091
37: Tomato___healthy,1.0,1.0,1.0,1.0
