Experiment,Class_ID,Class,Train Sample Count,Is Minority,Recall,F1-score
efficientnet_b0_winner,0,Apple___Apple_scab,504,True,0.9365079365079365,0.959349593495935
efficientnet_b0_winner,1,Apple___Black_rot,497,True,1.0,0.992
efficientnet_b0_winner,2,Apple___Cedar_apple_rust,220,True,1.0,1.0
efficientnet_b0_winner,3,Apple___healthy,1316,False,0.9939393939393939,0.984984984984985
efficientnet_b0_winner,4,Blueberry___healthy,1202,False,0.9933333333333333,0.9966555183946488
efficientnet_b0_winner,5,Cherry_(including_sour)___Powdery_mildew,842,False,1.0,0.995260663507109
efficientnet_b0_winner,6,Cherry_(including_sour)___healthy,683,False,1.0,0.9826589595375722
efficientnet_b0_winner,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,410,True,0.9215686274509803,0.8785046728971962
efficientnet_b0_winner,8,Corn_(maize)___Common_rust_,953,False,1.0,0.995850622406639
efficientnet_b0_winner,9,Corn_(maize)___Northern_Leaf_Blight,788,False,0.8979591836734694,0.9263157894736842
efficientnet_b0_winner,10,Corn_(maize)___healthy,930,False,1.0,1.0
efficientnet_b0_winner,11,Grape___Black_rot,944,False,0.9915254237288136,0.9790794979079498
efficientnet_b0_winner,12,Grape___Esca_(Black_Measles),1106,False,0.9712230215827338,0.9818181818181818
efficientnet_b0_winner,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),861,False,1.0,1.0
efficientnet_b0_winner,14,Grape___healthy,338,True,1.0,1.0
efficientnet_b0_winner,15,Orange___Haunglongbing_(Citrus_greening),4405,False,0.9981851179673321,0.9981851179673321
efficientnet_b0_winner,16,Peach___Bacterial_spot,1837,False,0.9869565217391304,0.9934354485776805
efficientnet_b0_winner,17,Peach___healthy,288,True,1.0,0.96
efficientnet_b0_winner,18,"Pepper,_bell___Bacterial_spot",798,False,0.98989898989899,0.98989898989899
efficientnet_b0_winner,19,"Pepper,_bell___healthy",1182,False,0.9864864864864865,0.9898305084745763
efficientnet_b0_winner,20,Potato___Early_blight,800,False,1.0,1.0
efficientnet_b0_winner,21,Potato___Late_blight,800,False,0.99,0.9801980198019802
efficientnet_b0_winner,22,Potato___healthy,122,True,0.9333333333333333,0.9655172413793104
efficientnet_b0_winner,23,Raspberry___healthy,297,True,1.0,1.0
efficientnet_b0_winner,24,Soybean___healthy,4072,False,0.9980353634577603,0.9980353634577603
efficientnet_b0_winner,25,Squash___Powdery_mildew,1468,False,1.0,1.0
efficientnet_b0_winner,26,Strawberry___Leaf_scorch,887,False,1.0,1.0
efficientnet_b0_winner,27,Strawberry___healthy,365,True,1.0,1.0
efficientnet_b0_winner,28,Tomato___Bacterial_spot,1702,False,0.9671361502347418,0.976303317535545
efficientnet_b0_winner,29,Tomato___Early_blight,800,False,0.94,0.9306930693069307
efficientnet_b0_winner,30,Tomato___Late_blight,1527,False,0.9476439790575916,0.9653333333333334
efficientnet_b0_winner,31,Tomato___Leaf_Mold,762,False,0.9789473684210527,0.9789473684210527
efficientnet_b0_winner,32,Tomato___Septoria_leaf_spot,1417,False,0.9887005649717514,0.9831460674157303
efficientnet_b0_winner,33,Tomato___Spider_mites Two-spotted_spider_mite,1341,False,0.9583333333333334,0.9554896142433235
efficientnet_b0_winner,34,Tomato___Target_Spot,1123,False,0.9361702127659575,0.9263157894736842
efficientnet_b0_winner,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,4286,False,0.9850746268656716,0.9887640449438202
efficientnet_b0_winner,36,Tomato___Tomato_mosaic_virus,298,True,1.0,0.9736842105263158
efficientnet_b0_winner,37,Tomato___healthy,1273,False,1.0,0.9968652037617555
