Experiment,Class_ID,Class,Train Sample Count,Is Minority,Precision,Recall,F1-score
mobilenetv2_winner,0,Apple___Apple_scab,504,True,0.9838709677419355,0.9682539682539683,0.976
mobilenetv2_winner,1,Apple___Black_rot,497,True,1.0,1.0,1.0
mobilenetv2_winner,2,Apple___Cedar_apple_rust,220,True,1.0,1.0,1.0
mobilenetv2_winner,3,Apple___healthy,1316,False,0.9937888198757764,0.9696969696969697,0.9815950920245399
mobilenetv2_winner,4,Blueberry___healthy,1202,False,0.9868421052631579,1.0,0.9933774834437086
mobilenetv2_winner,5,Cherry_(including_sour)___Powdery_mildew,842,False,0.9905660377358491,1.0,0.995260663507109
mobilenetv2_winner,6,Cherry_(including_sour)___healthy,683,False,0.9883720930232558,1.0,0.9941520467836257
mobilenetv2_winner,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,410,True,0.9056603773584906,0.9411764705882353,0.9230769230769231
mobilenetv2_winner,8,Corn_(maize)___Common_rust_,953,False,1.0,1.0,1.0
mobilenetv2_winner,9,Corn_(maize)___Northern_Leaf_Blight,788,False,0.96875,0.9489795918367347,0.9587628865979382
mobilenetv2_winner,10,Corn_(maize)___healthy,930,False,1.0,1.0,1.0
mobilenetv2_winner,11,Grape___Black_rot,944,False,0.9831932773109243,0.9915254237288136,0.9873417721518988
mobilenetv2_winner,12,Grape___Esca_(Black_Measles),1106,False,0.9927536231884058,0.9856115107913669,0.9891696750902527
mobilenetv2_winner,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),861,False,1.0,1.0,1.0
mobilenetv2_winner,14,Grape___healthy,338,True,1.0,1.0,1.0
mobilenetv2_winner,15,Orange___Haunglongbing_(Citrus_greening),4405,False,1.0,1.0,1.0
mobilenetv2_winner,16,Peach___Bacterial_spot,1837,False,0.991304347826087,0.991304347826087,0.991304347826087
mobilenetv2_winner,17,Peach___healthy,288,True,0.9230769230769231,1.0,0.96
mobilenetv2_winner,18,"Pepper,_bell___Bacterial_spot",798,False,0.9702970297029703,0.98989898989899,0.98
mobilenetv2_winner,19,"Pepper,_bell___healthy",1182,False,0.9931972789115646,0.9864864864864865,0.9898305084745763
mobilenetv2_winner,20,Potato___Early_blight,800,False,1.0,1.0,1.0
mobilenetv2_winner,21,Potato___Late_blight,800,False,0.98,0.98,0.98
mobilenetv2_winner,22,Potato___healthy,122,True,0.9375,1.0,0.967741935483871
mobilenetv2_winner,23,Raspberry___healthy,297,True,1.0,1.0,1.0
mobilenetv2_winner,24,Soybean___healthy,4072,False,0.9941291585127201,0.9980353634577603,0.996078431372549
mobilenetv2_winner,25,Squash___Powdery_mildew,1468,False,1.0,1.0,1.0
mobilenetv2_winner,26,Strawberry___Leaf_scorch,887,False,1.0,1.0,1.0
mobilenetv2_winner,27,Strawberry___healthy,365,True,1.0,1.0,1.0
mobilenetv2_winner,28,Tomato___Bacterial_spot,1702,False,0.9902912621359223,0.9577464788732394,0.9737470167064439
mobilenetv2_winner,29,Tomato___Early_blight,800,False,0.8867924528301887,0.94,0.912621359223301
mobilenetv2_winner,30,Tomato___Late_blight,1527,False,0.9731182795698925,0.9476439790575916,0.9602122015915119
mobilenetv2_winner,31,Tomato___Leaf_Mold,762,False,0.9578947368421052,0.9578947368421052,0.9578947368421052
mobilenetv2_winner,32,Tomato___Septoria_leaf_spot,1417,False,0.9722222222222222,0.9887005649717514,0.9803921568627451
mobilenetv2_winner,33,Tomato___Spider_mites Two-spotted_spider_mite,1341,False,0.9704142011834319,0.9761904761904762,0.973293768545994
mobilenetv2_winner,34,Tomato___Target_Spot,1123,False,0.9565217391304348,0.9361702127659575,0.946236559139785
mobilenetv2_winner,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,4286,False,0.99812734082397,0.9944029850746269,0.9962616822429906
mobilenetv2_winner,36,Tomato___Tomato_mosaic_virus,298,True,0.9736842105263158,1.0,0.9866666666666667
mobilenetv2_winner,37,Tomato___healthy,1273,False,1.0,1.0,1.0
