Model,Class_ID,Class,Misclassified Count,Class Total,Misclassification Rate
mobilenetv2_baseline,0,Apple___Apple_scab,2,63,0.031746031746031744
mobilenetv2_baseline,1,Apple___Black_rot,0,62,0.0
mobilenetv2_baseline,2,Apple___Cedar_apple_rust,0,27,0.0
mobilenetv2_baseline,3,Apple___healthy,5,165,0.030303030303030304
mobilenetv2_baseline,4,Blueberry___healthy,0,150,0.0
mobilenetv2_baseline,5,Cherry_(including_sour)___Powdery_mildew,0,105,0.0
mobilenetv2_baseline,6,Cherry_(including_sour)___healthy,0,85,0.0
mobilenetv2_baseline,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,3,51,0.058823529411764705
mobilenetv2_baseline,8,Corn_(maize)___Common_rust_,0,120,0.0
mobilenetv2_baseline,9,Corn_(maize)___Northern_Leaf_Blight,5,98,0.05102040816326531
mobilenetv2_baseline,10,Corn_(maize)___healthy,0,116,0.0
mobilenetv2_baseline,11,Grape___Black_rot,1,118,0.00847457627118644
mobilenetv2_baseline,12,Grape___Esca_(Black_Measles),2,139,0.014388489208633094
mobilenetv2_baseline,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0,108,0.0
mobilenetv2_baseline,14,Grape___healthy,0,42,0.0
mobilenetv2_baseline,15,Orange___Haunglongbing_(Citrus_greening),0,551,0.0
mobilenetv2_baseline,16,Peach___Bacterial_spot,2,230,0.008695652173913044
mobilenetv2_baseline,17,Peach___healthy,0,36,0.0
mobilenetv2_baseline,18,"Pepper,_bell___Bacterial_spot",1,99,0.010101010101010102
mobilenetv2_baseline,19,"Pepper,_bell___healthy",2,148,0.013513513513513514
mobilenetv2_baseline,20,Potato___Early_blight,0,100,0.0
mobilenetv2_baseline,21,Potato___Late_blight,2,100,0.02
mobilenetv2_baseline,22,Potato___healthy,0,15,0.0
mobilenetv2_baseline,23,Raspberry___healthy,0,37,0.0
mobilenetv2_baseline,24,Soybean___healthy,1,509,0.0019646365422396855
mobilenetv2_baseline,25,Squash___Powdery_mildew,0,184,0.0
mobilenetv2_baseline,26,Strawberry___Leaf_scorch,0,111,0.0
mobilenetv2_baseline,27,Strawberry___healthy,0,45,0.0
mobilenetv2_baseline,28,Tomato___Bacterial_spot,9,213,0.04225352112676056
mobilenetv2_baseline,29,Tomato___Early_blight,6,100,0.06
mobilenetv2_baseline,30,Tomato___Late_blight,10,191,0.05235602094240838
mobilenetv2_baseline,31,Tomato___Leaf_Mold,4,95,0.042105263157894736
mobilenetv2_baseline,32,Tomato___Septoria_leaf_spot,2,177,0.011299435028248588
mobilenetv2_baseline,33,Tomato___Spider_mites Two-spotted_spider_mite,4,168,0.023809523809523808
mobilenetv2_baseline,34,Tomato___Target_Spot,9,141,0.06382978723404255
mobilenetv2_baseline,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,3,536,0.005597014925373134
mobilenetv2_baseline,36,Tomato___Tomato_mosaic_virus,0,37,0.0
mobilenetv2_baseline,37,Tomato___healthy,0,159,0.0
mobilenetv2_residual,0,Apple___Apple_scab,2,63,0.031746031746031744
mobilenetv2_residual,1,Apple___Black_rot,0,62,0.0
mobilenetv2_residual,2,Apple___Cedar_apple_rust,0,27,0.0
mobilenetv2_residual,3,Apple___healthy,2,165,0.012121212121212121
mobilenetv2_residual,4,Blueberry___healthy,0,150,0.0
mobilenetv2_residual,5,Cherry_(including_sour)___Powdery_mildew,0,105,0.0
mobilenetv2_residual,6,Cherry_(including_sour)___healthy,0,85,0.0
mobilenetv2_residual,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,1,51,0.0196078431372549
mobilenetv2_residual,8,Corn_(maize)___Common_rust_,0,120,0.0
mobilenetv2_residual,9,Corn_(maize)___Northern_Leaf_Blight,4,98,0.04081632653061224
mobilenetv2_residual,10,Corn_(maize)___healthy,0,116,0.0
mobilenetv2_residual,11,Grape___Black_rot,1,118,0.00847457627118644
mobilenetv2_residual,12,Grape___Esca_(Black_Measles),1,139,0.007194244604316547
mobilenetv2_residual,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0,108,0.0
mobilenetv2_residual,14,Grape___healthy,0,42,0.0
mobilenetv2_residual,15,Orange___Haunglongbing_(Citrus_greening),0,551,0.0
mobilenetv2_residual,16,Peach___Bacterial_spot,3,230,0.013043478260869565
mobilenetv2_residual,17,Peach___healthy,0,36,0.0
mobilenetv2_residual,18,"Pepper,_bell___Bacterial_spot",0,99,0.0
mobilenetv2_residual,19,"Pepper,_bell___healthy",1,148,0.006756756756756757
mobilenetv2_residual,20,Potato___Early_blight,0,100,0.0
mobilenetv2_residual,21,Potato___Late_blight,0,100,0.0
mobilenetv2_residual,22,Potato___healthy,0,15,0.0
mobilenetv2_residual,23,Raspberry___healthy,0,37,0.0
mobilenetv2_residual,24,Soybean___healthy,3,509,0.005893909626719057
mobilenetv2_residual,25,Squash___Powdery_mildew,0,184,0.0
mobilenetv2_residual,26,Strawberry___Leaf_scorch,0,111,0.0
mobilenetv2_residual,27,Strawberry___healthy,0,45,0.0
mobilenetv2_residual,28,Tomato___Bacterial_spot,4,213,0.018779342723004695
mobilenetv2_residual,29,Tomato___Early_blight,6,100,0.06
mobilenetv2_residual,30,Tomato___Late_blight,7,191,0.03664921465968586
mobilenetv2_residual,31,Tomato___Leaf_Mold,1,95,0.010526315789473684
mobilenetv2_residual,32,Tomato___Septoria_leaf_spot,2,177,0.011299435028248588
mobilenetv2_residual,33,Tomato___Spider_mites Two-spotted_spider_mite,2,168,0.011904761904761904
mobilenetv2_residual,34,Tomato___Target_Spot,7,141,0.04964539007092199
mobilenetv2_residual,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,2,536,0.0037313432835820895
mobilenetv2_residual,36,Tomato___Tomato_mosaic_virus,0,37,0.0
mobilenetv2_residual,37,Tomato___healthy,0,159,0.0
mobilenetv2_residual_se,0,Apple___Apple_scab,0,63,0.0
mobilenetv2_residual_se,1,Apple___Black_rot,0,62,0.0
mobilenetv2_residual_se,2,Apple___Cedar_apple_rust,0,27,0.0
mobilenetv2_residual_se,3,Apple___healthy,2,165,0.012121212121212121
mobilenetv2_residual_se,4,Blueberry___healthy,0,150,0.0
mobilenetv2_residual_se,5,Cherry_(including_sour)___Powdery_mildew,0,105,0.0
mobilenetv2_residual_se,6,Cherry_(including_sour)___healthy,0,85,0.0
mobilenetv2_residual_se,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,3,51,0.058823529411764705
mobilenetv2_residual_se,8,Corn_(maize)___Common_rust_,0,120,0.0
mobilenetv2_residual_se,9,Corn_(maize)___Northern_Leaf_Blight,3,98,0.030612244897959183
mobilenetv2_residual_se,10,Corn_(maize)___healthy,0,116,0.0
mobilenetv2_residual_se,11,Grape___Black_rot,2,118,0.01694915254237288
mobilenetv2_residual_se,12,Grape___Esca_(Black_Measles),1,139,0.007194244604316547
mobilenetv2_residual_se,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0,108,0.0
mobilenetv2_residual_se,14,Grape___healthy,0,42,0.0
mobilenetv2_residual_se,15,Orange___Haunglongbing_(Citrus_greening),0,551,0.0
mobilenetv2_residual_se,16,Peach___Bacterial_spot,2,230,0.008695652173913044
mobilenetv2_residual_se,17,Peach___healthy,0,36,0.0
mobilenetv2_residual_se,18,"Pepper,_bell___Bacterial_spot",1,99,0.010101010101010102
mobilenetv2_residual_se,19,"Pepper,_bell___healthy",1,148,0.006756756756756757
mobilenetv2_residual_se,20,Potato___Early_blight,0,100,0.0
mobilenetv2_residual_se,21,Potato___Late_blight,1,100,0.01
mobilenetv2_residual_se,22,Potato___healthy,0,15,0.0
mobilenetv2_residual_se,23,Raspberry___healthy,0,37,0.0
mobilenetv2_residual_se,24,Soybean___healthy,2,509,0.003929273084479371
mobilenetv2_residual_se,25,Squash___Powdery_mildew,0,184,0.0
mobilenetv2_residual_se,26,Strawberry___Leaf_scorch,0,111,0.0
mobilenetv2_residual_se,27,Strawberry___healthy,0,45,0.0
mobilenetv2_residual_se,28,Tomato___Bacterial_spot,7,213,0.03286384976525822
mobilenetv2_residual_se,29,Tomato___Early_blight,5,100,0.05
mobilenetv2_residual_se,30,Tomato___Late_blight,3,191,0.015706806282722512
mobilenetv2_residual_se,31,Tomato___Leaf_Mold,0,95,0.0
mobilenetv2_residual_se,32,Tomato___Septoria_leaf_spot,2,177,0.011299435028248588
mobilenetv2_residual_se,33,Tomato___Spider_mites Two-spotted_spider_mite,2,168,0.011904761904761904
mobilenetv2_residual_se,34,Tomato___Target_Spot,7,141,0.04964539007092199
mobilenetv2_residual_se,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,2,536,0.0037313432835820895
mobilenetv2_residual_se,36,Tomato___Tomato_mosaic_virus,0,37,0.0
