class_id,class_name,train_count,sampler_weight,is_minority
0,Apple___Apple_scab,504,1.2478164,True
1,Apple___Black_rot,497,1.2653912,True
2,Apple___Cedar_apple_rust,220,2.858634,True
3,Apple___healthy,1316,0.47788715,False
4,Blueberry___healthy,1202,0.5232108,False
5,Cherry_(including_sour)___Powdery_mildew,842,0.7469115,False
6,Cherry_(including_sour)___healthy,683,0.92078984,False
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,410,1.5339011,True
8,Corn_(maize)___Common_rust_,953,0.6599154,False
9,Corn_(maize)___Northern_Leaf_Blight,788,0.79809576,False
10,Corn_(maize)___healthy,930,0.676236,False
11,Grape___Black_rot,944,0.666207,False
12,Grape___Esca_(Black_Measles),1106,0.5686252,False
13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),861,0.7304291,False
14,Grape___healthy,338,1.8606493,True
15,Orange___Haunglongbing_(Citrus_greening),4405,0.14276946,False
16,Peach___Bacterial_spot,1837,0.34235135,False
17,Peach___healthy,288,2.1836786,True
18,"Pepper,_bell___Bacterial_spot",798,0.7880945,False
19,"Pepper,_bell___healthy",1182,0.53206384,False
20,Potato___Early_blight,800,0.7861243,False
21,Potato___Late_blight,800,0.7861243,False
22,Potato___healthy,122,5.1549134,True
23,Raspberry___healthy,297,2.1175065,True
24,Soybean___healthy,4072,0.15444486,False
25,Squash___Powdery_mildew,1468,0.4284056,False
26,Strawberry___Leaf_scorch,887,0.7090185,False
27,Strawberry___healthy,365,1.7230122,True
28,Tomato___Bacterial_spot,1702,0.36950615,False
29,Tomato___Early_blight,800,0.7861243,False
30,Tomato___Late_blight,1527,0.41185296,False
31,Tomato___Leaf_Mold,762,0.82532734,False
32,Tomato___Septoria_leaf_spot,1417,0.44382462,False
33,Tomato___Spider_mites Two-spotted_spider_mite,1341,0.46897796,False
34,Tomato___Target_Spot,1123,0.56001735,False
35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,4286,0.14673342,False
36,Tomato___Tomato_mosaic_virus,298,2.110401,True
37,Tomato___healthy,1273,0.49402943,False
